"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.7.176",47008,"172.26.211.223",6002,37,3185,19,1744,18,1441,251.592763382,5.769717775000004,2418.1425407761803,1998.0180053087593
"192.168.7.176",47010,"172.26.211.223",6002,1356,1207501,813,1168269,543,39232,251.702557692,5.611701559000011,1665475.596258447,55928.84737368825
"192.168.7.176",47012,"172.26.211.223",6002,36,3099,20,1795,16,1304,258.701275446,6.426950104000014,2234.341292157007,1623.1649275614134
"192.168.7.176",47014,"172.26.211.223",6002,357,307837,209,297301,148,10536,258.970343608,5.738220409999997,414485.2985875461,14688.8745948328
"192.168.7.176",47016,"172.26.211.223",6002,4,288,3,208,1,80,270.700344069,3.1232804090000172,532.7731686226547,204.91275716255947
"192.168.7.176",47018,"172.26.211.223",6002,17,1318,9,760,8,558,273.219586994,6.3888276740000265,951.661292218472,698.7197382340887
"192.168.7.176",47024,"172.26.211.223",6002,22,1660,11,896,11,764,336.739996803,5.986464914999999,1197.3677457023903,1020.9698188801631
"192.168.7.176",47026,"172.26.211.223",6002,263,240937,165,233853,98,7084,338.179669601,5.797532181999998,322693.163447799,9775.19368947248
"192.168.7.176",47028,"172.26.211.223",6002,28,2067,15,1167,13,900,342.737030738,9.835315281000021,949.2324072249514,732.0558410475204
"192.168.7.176",47030,"172.26.211.223",6002,250,231793,159,225201,91,6592,344.066066184,8.699030843000003,207104.45019857938,6062.2845178708585
