"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.7.33",58156,"172.26.211.223",6001,35,3047,18,1675,17,1372,321.648422537,5.471840777000011,2448.9016669353227,2005.9063206180674
"192.168.7.33",58158,"172.26.211.223",6001,282,246527,169,238247,113,8280,321.915072862,5.142339830000026,370643.72698215675,12881.295711644882
"192.168.7.33",58160,"172.26.211.223",6001,23,1744,12,968,11,776,328.646792672,6.908838485999979,1120.8830566371448,898.5591445768846
"192.168.7.33",58162,"172.26.211.223",6001,173,153807,106,148775,67,5032,334.384179528,4.757551281000019,250170.71381936307,8461.495761647016
"192.168.7.33",58164,"172.26.211.223",6001,18,1386,9,760,9,626,340.696499176,1.8618619460000332,3265.5482395255376,2689.7805236091926
"192.168.7.33",58166,"172.26.211.223",6001,20,1650,11,1011,9,639,342.757624939,6.943061204999992,1164.904033133899,736.2746559570342
"192.168.7.33",58168,"172.26.211.223",6001,32,2304,16,1236,16,1068,349.742626459,9.241879365999978,1069.9122557666183,924.4872889633886
"192.168.7.33",58170,"172.26.211.223",6001,247,212689,145,205013,102,7676,354.930702823,5.538918384999988,296105.46428009943,11086.641060879278
"192.168.7.33",58172,"172.26.211.223",6001,23,1740,12,964,11,776,357.282181154,7.350428033000014,1049.1906002448695,844.5766657572808
"192.168.7.33",58174,"172.26.211.223",6001,277,234691,160,226643,117,8048,360.527356872,7.334108113000013,247220.78977621376,8778.708877481185
"192.168.7.33",58176,"172.26.211.223",6001,20,1559,14,1137,6,422,364.897284805,76.46266290299997,118.96002120066268,44.15226820288448
